datetime,open,low,high,close,volume,oi
2021-09-16 9:36,9.95,9.375,10,9.625,-1,-1
2021-09-16 9:37,9.625,9.6,9.8,9.6,-1,-1
2021-09-16 9:38,9.6,9.6,9.85,9.775,-1,-1
2021-09-16 9:39,9.775,9.425,9.775,9.45,-1,-1
2021-09-16 9:40,9.45,9.325,9.575,9.4,-1,-1
2021-09-16 9:41,9.4,9.375,9.5,9.45,-1,-1
2021-09-16 9:42,9.45,9.35,9.5,9.4,-1,-1
2021-09-16 9:43,9.4,9.325,9.45,9.375,-1,-1
2021-09-16 9:44,9.375,9.3,9.45,9.45,-1,-1
2021-09-16 9:45,9.45,9.35,9.675,9.4,-1,-1
2021-09-16 9:46,9.4,9.35,9.5,9.5,-1,-1
2021-09-16 9:47,9.5,9.5,9.6,9.525,-1,-1
2021-09-16 9:48,9.525,9.45,9.6,9.45,-1,-1
2021-09-16 9:49,9.45,9.025,9.5,9.2,-1,-1
2021-09-16 9:50,9.2,9.15,9.3,9.225,-1,-1
2021-09-16 9:51,9.225,9.225,9.35,9.25,-1,-1
2021-09-16 9:52,9.25,9.2,9.325,9.2,-1,-1
2021-09-16 9:53,9.2,9.075,9.225,9.1,-1,-1
2021-09-16 9:54,9.1,9.075,9.225,9.2,-1,-1
2021-09-16 9:55,9.2,9.15,9.3,9.25,-1,-1
2021-09-16 9:56,9.25,9.2,9.275,9.2,-1,-1
2021-09-16 9:57,9.2,9.2,9.325,9.275,-1,-1
2021-09-16 9:58,9.275,9.2,9.3,9.275,-1,-1
2021-09-16 9:59,9.275,9.25,9.3,9.25,-1,-1
2021-09-16 10:00,9.25,9.15,9.25,9.15,-1,-1
2021-09-16 10:01,9.15,9.05,9.15,9.1,-1,-1
2021-09-16 10:02,9.1,9.05,9.2,9.1,-1,-1
